particiones, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12
Partición 1-1,98.9437,94.7368,43.3333,19.2276,76.6667,70.5556,58.8889,24.0088,66.6667,64.9485,49.6403,113.5048
Partición 1-2,96.8421,97.5352,43.3333,25.5444,68.3333,74.4444,45.5556,30.4084,67.0103,63.0208,50.7194,145.5799
Partición 2-1,97.8873,95.4386,50.0000,16.0968,71.1111,73.8889,50.0000,31.2889,68.2292,64.4330,47.4820,219.7524
Partición 2-2,97.5439,95.4225,50.0000,27.4419,73.3333,72.7778,43.3333,65.4793,67.5258,62.5000,50.3597,251.5668
Partición 3-1,96.8310,94.7368,43.3333,11.6721,75.5556,69.4444,52.2222,62.4497,67.1875,63.4021,48.5612,187.7998
Partición 3-2,97.8947,96.1268,26.6667,13.6743,70.0000,68.3333,53.3333,44.7590,68.0412,65.1042,47.8417,250.5469
Partición 4-1,97.1831,95.4386,63.3333,18.4396,72.2222,73.8889,51.1111,42.4045,74.4792,63.9175,54.3165,246.3999
Partición 4-2,95.7895,94.7183,60.0000,10.0989,69.4444,73.3333,40.0000,30.2926,66.4948,64.5833,47.1223,197.3830
Partición 5-1,97.1831,95.7895,43.3333,13.3520,72.7778,67.2222,52.2222,36.6807,68.2292,61.3402,53.9568,199.7321
Partición 5-2,96.8421,96.8310,56.6667,9.0114,71.6667,67.7778,47.7778,23.7236,68.5567,61.9792,47.8417,254.1432
Medias,97.2940,95.6774,48.0000,16.4559,72.1111,71.1667,49.4444,39.1495,68.2421,63.5229,49.7842,206.6409
