particiones, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12
Partición 1-1,96.1268,96.8421,90.0000,0.1986,72.2222,67.7778,92.2222,1.1592,72.9167,68.5567,98.9209,1.6224
Partición 1-2,96.4912,94.3662,90.0000,0.1819,76.1111,72.2222,87.7778,1.7668,77.8351,66.6667,96.7626,4.5923
Partición 2-1,95.7746,92.2807,90.0000,0.1802,76.1111,69.4444,91.1111,1.2319,72.9167,68.0412,98.9209,1.5134
Partición 2-2,95.7895,91.5493,90.0000,0.1819,72.7778,58.8889,90.0000,1.3947,71.1340,70.3125,98.5612,1.9781
Partición 3-1,96.1268,92.6316,90.0000,0.1803,72.7778,71.1111,92.2222,1.0714,79.6875,69.0722,98.2014,2.4614
Partición 3-2,95.7895,85.9155,93.3333,0.1291,72.7778,60.0000,92.2222,1.0635,70.6186,61.9792,98.9209,1.5254
Partición 4-1,97.8873,94.3860,90.0000,0.1816,76.1111,68.3333,87.7778,1.7216,71.3542,65.4639,98.5612,1.9772
Partición 4-2,95.4386,95.0704,90.0000,0.1807,75.5556,63.3333,92.2222,1.0547,73.7113,69.7917,98.9209,1.5289
Partición 5-1,93.6620,92.2807,90.0000,0.1804,66.6667,63.8889,91.1111,1.2151,72.9167,71.1340,97.8417,2.9528
Partición 5-2,96.8421,97.5352,86.6667,0.2342,79.4444,72.2222,87.7778,1.7243,82.4742,77.6042,96.7626,4.6195
Medias,95.9928,93.2858,90.0000,0.1829,74.0556,66.7222,90.4444,1.3403,74.5565,68.8622,98.2374,2.4772
