particiones, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12
Partición 1-1,99.2958,95.4386,40.0000,3.8469,74.4444,76.6667,53.3333,12.1231,74.4792,65.9794,53.9568,135.7617
Partición 1-2,98.2456,95.0704,36.6667,2.9145,79.4444,72.2222,52.2222,12.2909,72.1649,64.0625,53.9568,125.2854
Partición 2-1,97.8873,96.8421,56.6667,3.3589,77.7778,76.1111,47.7778,11.0281,73.9583,67.0103,45.6835,144.3457
Partición 2-2,98.5965,95.0704,50.0000,3.1460,78.3333,76.1111,50.0000,12.5063,72.6804,60.4167,56.1151,160.5128
Partición 3-1,97.8873,95.7895,50.0000,3.0534,76.6667,70.0000,46.6667,13.6035,76.0417,64.4330,46.7626,165.9594
Partición 3-2,97.8947,95.4225,56.6667,3.2470,80.0000,73.8889,54.4444,11.6199,70.6186,60.9375,52.5180,133.2013
Partición 4-1,98.9437,95.7895,46.6667,3.2698,76.6667,75.0000,52.2222,11.5749,71.8750,62.8866,53.9568,147.9913
Partición 4-2,97.8947,97.5352,46.6667,3.6253,76.6667,76.6667,54.4444,12.7118,73.7113,64.5833,50.3597,118.9206
Partición 5-1,97.8873,97.8947,36.6667,3.2422,75.5556,72.2222,58.8889,12.1402,75.0000,61.3402,43.1655,133.1677
Partición 5-2,98.9474,94.7183,53.3333,2.9331,75.5556,76.6667,51.1111,12.6560,72.6804,65.6250,51.0791,131.2743
Medias,98.3480,95.9571,47.3333,3.2637,77.1111,74.5556,52.1111,12.2255,73.3210,63.7274,50.7554,139.6420
