particiones, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12
Partición 1-1,98.9437,96.1404,50.0000,2.8364,75.5556,75.0000,51.1111,10.4815,78.1250,62.3711,54.6763,118.7117
Partición 1-2,97.8947,95.4225,36.6667,2.7133,76.6667,70.0000,45.5556,11.2853,73.7113,64.0625,51.7986,87.9353
Partición 2-1,98.2394,96.1404,53.3333,2.7524,75.5556,74.4444,50.0000,10.3327,73.4375,62.8866,53.2374,94.4518
Partición 2-2,98.5965,96.4789,50.0000,2.6923,79.4444,79.4444,45.5556,13.7246,73.7113,65.6250,51.0791,96.3821
Partición 3-1,98.5915,96.1404,53.3333,3.0409,79.4444,71.1111,52.2222,10.6698,77.0833,60.3093,45.6835,136.4909
Partición 3-2,97.8947,94.0141,56.6667,2.6608,81.1111,73.8889,42.2222,10.8124,73.7113,61.9792,52.1583,115.9396
Partición 4-1,98.9437,96.1404,46.6667,2.8189,73.8889,69.4444,56.6667,10.9984,76.0417,66.4948,51.0791,116.1311
Partición 4-2,98.2456,97.1831,33.3333,2.7649,76.6667,76.6667,50.0000,10.7717,78.3505,62.5000,51.4388,121.2225
Partición 5-1,97.8873,95.7895,56.6667,3.2199,75.0000,73.3333,42.2222,12.3283,77.0833,63.9175,52.8777,104.7893
Partición 5-2,98.9474,94.0141,66.6667,2.4084,76.1111,76.6667,67.7778,11.5679,76.2887,66.6667,52.8777,114.7923
Medias,98.4185,95.7464,50.3333,2.7908,76.9444,74.0000,50.3333,11.2973,75.7544,63.6813,51.6906,110.6847
