particiones, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12
Partición 1-1,97.8873,95.4386,33.3333,38.8089,76.6667,72.7778,50.0000,42.9188,72.3958,66.4948,49.6403,121.0009
Partición 1-2,96.8421,95.0704,40.0000,36.6349,77.7778,72.7778,51.1111,43.2273,72.6804,69.2708,52.5180,110.8770
Partición 2-1,97.1831,95.4386,53.3333,33.4498,80.5556,69.4444,50.0000,43.0703,73.4375,63.4021,53.9568,112.7747
Partición 2-2,97.5439,96.4789,43.3333,36.5362,77.2222,70.0000,46.6667,45.2997,75.7732,65.6250,52.1583,114.2411
Partición 3-1,97.1831,94.7368,50.0000,34.4817,73.3333,73.3333,58.8889,39.1173,72.9167,62.8866,50.0000,125.4697
Partición 3-2,96.4912,94.3662,50.0000,33.5299,81.6667,74.4444,60.0000,37.7801,74.2268,66.6667,51.7986,116.2933
Partición 4-1,97.8873,95.7895,60.0000,32.7299,75.5556,68.8889,44.4444,46.6692,72.9167,58.7629,55.3957,113.7118
Partición 4-2,96.1404,97.5352,43.3333,35.8729,77.7778,73.3333,55.5556,41.2552,72.1649,65.6250,54.6763,104.6554
Partición 5-1,96.4789,98.2456,53.3333,33.4025,76.6667,76.6667,51.1111,42.6229,76.0417,68.5567,53.2374,116.0981
Partición 5-2,97.1930,91.1972,66.6667,30.2318,81.1111,78.8889,50.0000,43.7381,67.0103,66.1458,54.6763,114.6064
Medias,97.0830,95.4297,49.3333,34.5679,77.8333,73.0556,51.7778,42.5699,72.9564,65.3436,52.8058,114.9728
