particiones, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12
Partición 1-1,97.8873,96.8421,40.0000,38.6422,77.2222,73.3333,46.6667,44.3889,79.1667,65.4639,54.6763,108.0894
Partición 1-2,97.1930,94.7183,46.6667,34.7281,81.1111,71.6667,42.2222,46.9419,73.7113,67.7083,51.4388,119.0860
Partición 2-1,96.8310,95.0877,53.3333,35.5820,83.3333,71.1111,56.6667,39.6622,77.6042,68.0412,51.7986,117.0812
Partición 2-2,98.2456,95.0704,46.6667,35.5618,80.0000,73.8889,46.6667,43.9596,76.2887,61.9792,53.2374,109.3596
Partición 3-1,97.1831,95.4386,46.6667,35.6276,75.5556,74.4444,52.2222,42.1211,73.9583,61.8557,53.9568,109.3557
Partición 3-2,97.1930,95.7746,56.6667,32.6036,83.3333,77.7778,51.1111,43.1308,75.7732,61.4583,53.9568,116.0101
Partición 4-1,97.8873,95.4386,40.0000,37.5466,78.3333,66.6667,58.8889,38.3152,78.1250,61.3402,51.0791,114.2392
Partición 4-2,96.1404,96.4789,46.6667,37.1786,78.8889,72.2222,56.6667,39.8531,76.2887,69.7917,57.9137,98.0019
Partición 5-1,96.4789,96.4912,40.0000,36.0821,78.8889,77.7778,44.4444,45.4641,75.5208,63.4021,48.2014,121.6686
Partición 5-2,97.8947,96.4789,36.6667,37.8371,82.2222,77.2222,51.1111,43.5446,74.7423,69.2708,55.3957,106.6866
Medias,97.2934,95.7819,45.3333,36.1390,79.8889,73.6111,50.6667,42.7381,76.1179,65.0311,53.1655,111.9578
