particiones, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12
Partición 1-1,98.9437,97.5439,40.0000,37.4253,76.6667,69.4444,57.7778,39.4115,73.9583,62.3711,52.5180,106.3711
Partición 1-2,97.8947,96.4789,56.6667,33.2978,78.3333,76.6667,45.5556,45.6983,71.6495,65.1042,48.5612,107.5029
Partición 2-1,98.5915,95.4386,56.6667,33.2878,75.0000,73.3333,55.5556,40.6443,75.5208,64.9485,50.7194,110.3791
Partición 2-2,96.1404,96.4789,40.0000,37.9449,78.8889,75.5556,54.4444,41.2447,71.6495,66.1458,53.5971,101.6543
Partición 3-1,98.2394,94.0351,50.0000,34.5820,74.4444,76.6667,54.4444,41.3164,73.4375,63.4021,48.5612,114.3843
Partición 3-2,97.8947,96.8310,50.0000,36.6143,77.2222,78.8889,44.4444,45.8163,69.5876,63.0208,53.5971,98.1602
Partición 4-1,97.8873,94.0351,56.6667,33.4136,76.6667,68.8889,55.5556,40.8464,69.7917,63.4021,50.0000,111.3771
Partición 4-2,97.8947,96.4789,46.6667,36.9319,81.1111,74.4444,42.2222,48.3968,71.6495,60.4167,51.4388,99.2755
Partición 5-1,97.5352,94.7368,66.6667,31.1176,75.0000,75.0000,58.8889,39.2112,72.9167,63.9175,49.6403,111.8573
Partición 5-2,97.5439,96.1268,50.0000,35.2995,83.3333,73.3333,57.7778,39.5866,72.6804,69.7917,53.2374,100.8417
Medias,97.8566,95.8184,51.3333,34.9915,77.6667,74.2222,52.6667,42.2172,72.2841,64.2520,51.1871,106.1804
