particiones, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12
Partición 1-1,97.5352,96.1404,30.0000,40.1997,77.2222,71.1111,53.3333,41.2107,77.0833,64.4330,48.9209,114.9172
Partición 1-2,97.1930,95.7746,30.0000,40.2496,80.0000,77.7778,46.6667,44.2017,76.8041,69.2708,53.2374,103.6067
Partición 2-1,97.5352,95.4386,43.3333,37.3617,76.1111,72.7778,54.4444,41.4500,77.0833,63.9175,45.6835,132.6037
Partición 2-2,96.8421,96.4789,46.6667,35.7629,81.6667,74.4444,66.6667,34.1837,75.2577,64.0625,55.0360,96.4863
Partición 3-1,98.2394,96.8421,60.0000,33.0309,78.3333,77.2222,57.7778,38.8077,77.0833,67.5258,50.3597,109.1410
Partición 3-2,97.8947,97.1831,56.6667,33.9882,79.4444,75.0000,56.6667,39.3317,77.3196,65.6250,51.0791,104.7168
Partición 4-1,97.8873,94.0351,56.6667,33.3460,78.3333,67.2222,52.2222,42.4324,75.5208,68.0412,52.8777,107.0220
Partición 4-2,97.5439,96.1268,50.0000,37.3140,80.0000,75.0000,57.7778,38.8561,75.2577,61.9792,53.9568,107.5883
Partición 5-1,97.1831,95.0877,40.0000,38.4433,76.6667,74.4444,54.4444,40.6448,76.0417,63.4021,48.9209,112.2860
Partición 5-2,97.8947,97.1831,30.0000,40.6782,83.8889,73.8889,48.8889,43.2292,75.7732,63.5417,54.3165,101.8523
Medias,97.5749,96.0290,44.3333,37.0375,79.1667,73.8889,54.8889,40.4348,76.3225,65.1799,51.4388,109.0220
