particiones, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12
Partición 1-1,99.2958,96.1404,60.0000,33.3825,79.4444,78.3333,48.8889,44.0329,71.8750,65.4639,53.9568,119.0935
Partición 1-2,97.8947,94.0141,60.0000,32.4456,73.3333,71.6667,60.0000,39.3526,74.7423,64.0625,52.8777,106.9755
Partición 2-1,97.1831,94.7368,53.3333,35.9236,76.6667,75.5556,58.8889,39.2133,73.4375,64.9485,57.9137,112.7924
Partición 2-2,98.5965,95.4225,50.0000,34.6962,80.5556,71.1111,50.0000,44.4735,69.0722,68.7500,48.2014,126.8088
Partición 3-1,97.8873,95.0877,46.6667,35.4850,75.0000,78.3333,46.6667,45.2290,69.7917,62.8866,53.2374,122.8596
Partición 3-2,97.8947,96.4789,43.3333,36.7941,72.2222,72.2222,52.2222,43.4023,71.6495,65.6250,48.5612,120.9613
Partición 4-1,97.8873,96.8421,43.3333,36.1050,77.7778,76.1111,45.5556,48.0570,71.8750,60.3093,53.5971,129.5047
Partición 4-2,97.8947,95.4225,23.3333,42.7348,73.8889,72.2222,54.4444,42.3835,71.6495,65.6250,54.6763,108.8463
Partición 5-1,97.1831,96.4912,50.0000,35.0131,74.4444,71.6667,56.6667,42.6410,69.2708,63.9175,52.5180,129.2749
Partición 5-2,98.9474,95.7746,53.3333,33.2209,72.7778,80.0000,45.5556,46.5502,71.1340,63.5417,49.6403,122.2040
Medias,98.0665,95.6411,48.3333,35.5801,75.6111,74.7222,51.8889,43.5335,71.4497,64.5130,52.5180,119.9321
