particiones, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12
Partición 1-1,98.5915,96.4912,30.0000,40.5550,75.5556,77.2222,53.3333,41.6497,72.9167,69.5876,57.5540,111.2475
Partición 1-2,97.1930,95.4225,46.6667,37.1458,71.1111,76.1111,54.4444,41.3367,73.7113,64.5833,54.6763,110.7824
Partición 2-1,97.1831,94.7368,30.0000,40.4545,76.6667,73.8889,47.7778,44.9471,70.8333,67.0103,49.6403,127.7587
Partición 2-2,98.2456,95.7746,33.3333,40.1121,78.8889,69.4444,55.5556,41.4919,73.1959,67.7083,50.7194,109.0818
Partición 3-1,97.5352,96.1404,46.6667,36.0670,73.8889,77.2222,52.2222,44.2425,68.7500,61.8557,50.3597,127.6069
Partición 3-2,97.1930,96.1268,60.0000,33.0628,75.5556,71.6667,52.2222,44.1694,74.7423,67.7083,50.3597,109.3431
Partición 4-1,97.5352,95.0877,40.0000,37.3674,80.5556,77.2222,53.3333,42.5524,72.9167,63.9175,45.6835,151.9974
Partición 4-2,97.1930,94.3662,50.0000,34.4221,76.1111,68.3333,43.3333,47.6990,75.2577,64.0625,50.0000,123.4539
Partición 5-1,97.1831,96.4912,40.0000,37.8166,75.0000,72.7778,52.2222,43.3635,69.2708,61.8557,52.5180,114.1645
Partición 5-2,98.9474,94.7183,36.6667,38.6343,72.2222,78.3333,62.2222,38.4621,73.7113,63.0208,45.3237,124.1856
Medias,97.6800,95.5356,41.3333,37.5638,75.5556,74.2222,52.6667,42.9914,72.5306,65.1310,50.6835,120.9622
