particiones, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12
Partición 1-1,98.2394,93.6842,86.6667,37.9223,80.0000,70.0000,85.5556,199.9326,83.3333,76.2887,97.4820,499.5912
Partición 1-2,96.4912,97.5352,83.3333,44.4401,77.7778,70.0000,88.8889,159.6696,79.3814,68.2292,97.1223,577.5160
Partición 2-1,98.2394,93.3333,80.0000,50.9161,72.2222,61.6667,92.2222,117.5510,78.1250,71.1340,98.5612,302.5500
Partición 2-2,97.1930,95.0704,86.6667,37.6991,74.4444,66.1111,88.8889,159.1287,77.3196,67.1875,97.4820,538.2686
Partición 3-1,97.5352,94.3860,83.3333,44.3802,69.4444,64.4444,92.2222,117.3026,84.8958,72.1649,95.6835,762.5215
Partición 3-2,98.2456,95.7746,86.6667,37.6586,72.7778,63.8889,85.5556,199.3051,78.8660,69.2708,97.8417,390.8462
Partición 4-1,96.1268,95.4386,90.0000,30.5451,71.6667,75.0000,90.0000,145.5246,76.0417,69.5876,98.2014,330.9537
Partición 4-2,97.5439,93.6620,83.3333,44.5188,73.8889,66.6667,90.0000,147.9849,75.2577,69.2708,98.9209,221.1512
Partición 5-1,98.5915,95.0877,80.0000,50.8462,74.4444,65.5556,88.8889,159.8845,82.2917,67.5258,97.8417,355.9443
Partición 5-2,97.8947,95.0704,83.3333,44.5186,72.7778,65.0000,90.0000,145.2093,74.7423,66.1458,98.9209,204.8205
Medias,97.6101,94.9042,84.3333,42.3445,73.9444,66.8333,89.2222,155.1493,79.0255,69.6805,97.8058,418.4163
