particiones, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12
Partición 1-1,96.4789,98.2456,0.0000,0.3155,66.1111,73.8889,0.0000,0.2082,65.6250,63.4021,0.0000,0.3232
Partición 1-2,95.7895,95.0704,0.0000,0.3099,69.4444,67.7778,0.0000,0.2072,64.4330,65.1042,0.0000,0.3188
Partición 2-1,95.0704,96.4912,0.0000,0.3089,68.8889,73.3333,0.0000,0.2083,63.5417,67.5258,0.0000,0.3266
Partición 2-2,97.1930,96.8310,0.0000,0.3102,63.3333,73.8889,0.0000,0.2079,63.9175,62.5000,0.0000,0.3180
Partición 3-1,95.4225,97.1930,0.0000,0.3091,66.1111,67.2222,0.0000,0.2073,63.5417,63.9175,0.0000,0.3221
Partición 3-2,96.8421,97.1831,0.0000,0.3158,70.5556,72.7778,0.0000,0.2072,62.3711,64.0625,0.0000,0.3187
Partición 4-1,95.7746,97.1930,0.0000,0.3093,69.4444,70.5556,0.0000,0.2125,61.9792,64.9485,0.0000,0.3271
Partición 4-2,95.7895,96.8310,0.0000,0.3104,67.7778,74.4444,0.0000,0.2073,61.8557,65.1042,0.0000,0.3192
Partición 5-1,96.8310,94.0351,0.0000,0.3089,66.6667,69.4444,0.0000,0.2076,63.0208,64.4330,0.0000,0.3232
Partición 5-2,95.0877,96.8310,0.0000,0.3119,71.6667,73.8889,0.0000,0.2082,61.8557,64.5833,0.0000,0.3192
Medias,96.0279,96.5904,0.0000,0.3110,68.0000,71.7222,0.0000,0.2082,63.2141,64.5581,0.0000,0.3216
