particiones, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12
Partición 1-1,98.9437,94.0351,43.3333,85.2310,75.5556,75.0000,43.3333,167.9859,77.6042,64.9485,53.9568,839.9968
Partición 1-2,96.8421,97.1831,56.6667,84.2392,76.1111,72.7778,52.2222,164.5101,70.6186,67.1875,50.7194,833.3810
Partición 2-1,97.8873,92.2807,40.0000,84.4377,72.2222,66.6667,53.3333,165.8923,78.1250,68.5567,54.3165,802.2534
Partición 2-2,97.5439,96.8310,56.6667,84.3516,71.6667,70.0000,48.8889,168.0965,71.1340,61.4583,51.0791,736.6535
Partición 3-1,97.5352,95.0877,50.0000,84.1570,77.2222,73.3333,53.3333,168.5341,77.0833,65.4639,48.2014,696.2820
Partición 3-2,98.9474,96.1268,43.3333,84.9611,74.4444,63.8889,48.8889,172.0750,73.1959,65.1042,55.0360,660.9853
Partición 4-1,97.8873,94.7368,63.3333,83.6998,81.1111,67.7778,48.8889,167.2869,74.4792,63.9175,49.6403,667.9511
Partición 4-2,97.8947,95.0704,33.3333,85.8251,77.7778,72.2222,52.2222,163.6381,75.2577,68.2292,53.5971,667.1272
Partición 5-1,98.2394,94.7368,43.3333,84.4193,78.3333,70.0000,52.2222,169.1234,72.9167,63.9175,61.1511,655.1922
Partición 5-2,97.8947,94.7183,40.0000,85.0379,69.4444,73.3333,51.1111,166.7657,72.6804,65.6250,42.8058,690.5834
Medias,97.9616,95.0807,47.0000,84.6360,75.3889,70.5000,50.4444,167.3908,74.3095,65.4408,52.0504,725.0406
