particiones, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12
Partición 1-1,99.2958,95.7895,40.0000,4300.7671,73.3333,68.3333,60.0000,3286.9409,73.4375,62.3711,51.7986,4227.4062
Partición 1-2,97.8947,97.1831,60.0000,4232.4826,80.5556,70.5556,53.3333,2776.5594,75.2577,68.7500,50.7194,3770.4620
Partición 2-1,98.9437,94.3860,53.3333,4236.1506,75.0000,70.5556,56.6667,2838.2285,72.3958,64.4330,57.1942,3573.1368
Partición 2-2,98.9474,96.4789,50.0000,4264.8892,79.4444,71.1111,63.3333,2734.6227,75.2577,63.5417,51.0791,3695.1107
Partición 3-1,98.9437,94.0351,60.0000,4216.1790,79.4444,75.0000,57.7778,2729.8555,77.0833,65.9794,55.7554,3582.3163
Partición 3-2,99.2982,94.7183,46.6667,4282.2213,79.4444,72.2222,63.3333,2759.1975,77.8351,70.3125,55.7554,3628.5453
Partición 4-1,98.5915,96.1404,50.0000,4268.7189,82.2222,76.1111,52.2222,2781.2840,73.9583,64.4330,53.5971,3631.7597
Partición 4-2,98.9474,93.3099,50.0000,4287.3348,75.0000,67.2222,63.3333,2762.6962,76.8041,68.2292,58.2734,3615.0633
Partición 5-1,99.2958,94.3860,43.3333,4237.2314,75.5556,65.5556,65.5556,2729.8462,72.9167,61.8557,48.2014,3666.4759
Partición 5-2,98.2456,96.1268,46.6667,4252.6240,78.8889,71.6667,55.5556,2763.4030,74.2268,64.0625,54.3165,3637.0293
Medias,98.8404,95.2554,50.0000,4257.8599,77.8889,70.8333,59.1111,2816.2634,74.9173,65.3968,53.6690,3702.7306
